"iter","beta","se","variable"
1,0.890248666164788,0.149629905951424,"delta_RP_diff"
1,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
2,0.890248666164788,0.149629905951424,"delta_RP_diff"
2,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
3,0.890248666164788,0.149629905951424,"delta_RP_diff"
3,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
4,0.890248666164788,0.149629905951424,"delta_RP_diff"
4,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
5,0.890248666164788,0.149629905951424,"delta_RP_diff"
5,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
6,0.890248666164788,0.149629905951424,"delta_RP_diff"
6,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
7,0.890248666164788,0.149629905951424,"delta_RP_diff"
7,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
8,0.890248666164788,0.149629905951424,"delta_RP_diff"
8,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
9,0.890248666164788,0.149629905951424,"delta_RP_diff"
9,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
10,0.890248666164788,0.149629905951424,"delta_RP_diff"
10,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
11,0.890248666164788,0.149629905951424,"delta_RP_diff"
11,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
12,0.890248666164788,0.149629905951424,"delta_RP_diff"
12,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
13,0.890248666164788,0.149629905951424,"delta_RP_diff"
13,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
14,0.890248666164788,0.149629905951424,"delta_RP_diff"
14,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
15,0.890248666164788,0.149629905951424,"delta_RP_diff"
15,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
16,0.890248666164788,0.149629905951424,"delta_RP_diff"
16,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
17,0.890248666164788,0.149629905951424,"delta_RP_diff"
17,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
18,0.890248666164788,0.149629905951424,"delta_RP_diff"
18,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
19,0.890248666164788,0.149629905951424,"delta_RP_diff"
19,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
20,0.890248666164788,0.149629905951424,"delta_RP_diff"
20,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
21,0.890248666164788,0.149629905951424,"delta_RP_diff"
21,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
22,0.890248666164788,0.149629905951424,"delta_RP_diff"
22,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
23,0.890248666164788,0.149629905951424,"delta_RP_diff"
23,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
24,0.890248666164788,0.149629905951424,"delta_RP_diff"
24,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
25,0.890248666164788,0.149629905951424,"delta_RP_diff"
25,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
26,0.890248666164788,0.149629905951424,"delta_RP_diff"
26,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
27,0.890248666164788,0.149629905951424,"delta_RP_diff"
27,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
28,0.890248666164788,0.149629905951424,"delta_RP_diff"
28,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
29,0.890248666164788,0.149629905951424,"delta_RP_diff"
29,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
30,0.890248666164788,0.149629905951424,"delta_RP_diff"
30,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
31,0.890248666164788,0.149629905951424,"delta_RP_diff"
31,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
32,0.890248666164788,0.149629905951424,"delta_RP_diff"
32,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
33,0.890248666164788,0.149629905951424,"delta_RP_diff"
33,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
34,0.890248666164788,0.149629905951424,"delta_RP_diff"
34,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
35,0.890248666164788,0.149629905951424,"delta_RP_diff"
35,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
36,0.890248666164788,0.149629905951424,"delta_RP_diff"
