"iter","beta","se","variable"
1,0.86324209440829,0.213866391900762,"delta_RP_diff"
1,-0.00479921674673064,0.115100625679662,"rain_cumdev_diff"
1,0.0626593005476327,0.0632310458152438,"rainDlambda"
2,-0.403079837976034,0.209944465344327,"delta_RP_diff"
2,0.142693862195175,0.110000809086169,"rain_cumdev_diff"
2,0.093071121713105,0.0577505711211678,"rainDlambda"
3,-0.282697172038589,0.285993409314617,"delta_RP_diff"
3,0.128476089814092,0.113299786539844,"rain_cumdev_diff"
3,0.108052828240115,0.0634507698882752,"rainDlambda"
4,0.602245740571953,0.214244043837659,"delta_RP_diff"
4,0.048187071730049,0.12993456012782,"rain_cumdev_diff"
4,0.138259310900059,0.0736412526525958,"rainDlambda"
5,-0.233621635606062,0.239297156890373,"delta_RP_diff"
5,0.200389689388441,0.107120292908064,"rain_cumdev_diff"
5,0.0843314387205993,0.0565962546130849,"rainDlambda"
6,-0.7525231889418,0.224019764767099,"delta_RP_diff"
6,0.294737860245984,0.103596472111941,"rain_cumdev_diff"
6,0.035186210748518,0.0552533704798881,"rainDlambda"
7,0.307342867432822,0.216756641084201,"delta_RP_diff"
7,-0.0241896743559457,0.103736511359409,"rain_cumdev_diff"
7,0.122313978147467,0.0545930126917178,"rainDlambda"
8,0.344369387749161,0.224279596311195,"delta_RP_diff"
8,0.252613038860081,0.10782953324109,"rain_cumdev_diff"
8,0.0195509847320628,0.0587641315075282,"rainDlambda"
9,0.0530641233168824,0.23944139657283,"delta_RP_diff"
9,0.265455465474222,0.109064650521342,"rain_cumdev_diff"
9,0.00153456897962843,0.0591311962963344,"rainDlambda"
10,-0.172877730891015,0.217424750366238,"delta_RP_diff"
10,-0.214662403242706,0.111618859063369,"rain_cumdev_diff"
10,0.19791700503663,0.0572575394098314,"rainDlambda"
11,0.0993017076963322,0.218016915029269,"delta_RP_diff"
11,-0.00304844302079139,0.130402026517763,"rain_cumdev_diff"
11,0.177039307408514,0.0757517158063414,"rainDlambda"
12,0.541170852385053,0.225922729427062,"delta_RP_diff"
12,0.109861381377464,0.11736337620922,"rain_cumdev_diff"
12,0.0877639583137923,0.0623331297344293,"rainDlambda"
13,-0.428106334249761,0.237749954661275,"delta_RP_diff"
13,0.0229649980548233,0.101494863558385,"rain_cumdev_diff"
13,0.127113124410862,0.0537863235763178,"rainDlambda"
14,-0.210554298011234,0.217298596594719,"delta_RP_diff"
14,0.255704399943275,0.104062772768861,"rain_cumdev_diff"
14,0.0263774738900928,0.0546824307816971,"rainDlambda"
15,0.214643383813845,0.203695234397409,"delta_RP_diff"
15,-0.0610320668097884,0.106808464336776,"rain_cumdev_diff"
15,0.161726289566478,0.0582217636584946,"rainDlambda"
16,0.116094869558736,0.266982082316795,"delta_RP_diff"
16,0.162446217621696,0.109534716591638,"rain_cumdev_diff"
16,0.0788342362004676,0.056169645169004,"rainDlambda"
17,0.100763073441045,0.21112287305726,"delta_RP_diff"
17,-0.148841353190957,0.111106315929002,"rain_cumdev_diff"
17,0.177151306409456,0.0608142554430797,"rainDlambda"
18,0.123500661236695,0.241580394336779,"delta_RP_diff"
18,0.0489505323918091,0.114209222187796,"rain_cumdev_diff"
18,0.109011243117987,0.0606813975857021,"rainDlambda"
19,0.163988027559888,0.215501063120059,"delta_RP_diff"
19,0.0138346866222365,0.10759450813615,"rain_cumdev_diff"
19,0.108437493857987,0.0594827910830166,"rainDlambda"
20,0.691077149593458,0.23057541408054,"delta_RP_diff"
20,0.186541180799452,0.114495096607927,"rain_cumdev_diff"
20,0.039040833627712,0.0589069101787955,"rainDlambda"
21,0.310150227321116,0.2527674270921,"delta_RP_diff"
21,0.0960725992574396,0.117381936868625,"rain_cumdev_diff"
21,0.0490017244534018,0.0645141718271811,"rainDlambda"
22,0.0727161318004024,0.224447570456501,"delta_RP_diff"
22,0.115969353728189,0.103250799127674,"rain_cumdev_diff"
22,0.0878866144842146,0.0550338408594879,"rainDlambda"
23,-0.516039546810601,0.227130709574719,"delta_RP_diff"
23,-0.0469564508001494,0.105137041429258,"rain_cumdev_diff"
23,0.120942171242839,0.0550042200273119,"rainDlambda"
24,-0.204110710541527,0.21711416587139,"delta_RP_diff"
24,0.386093345739973,0.111494989854772,"rain_cumdev_diff"
24,-0.0465699804151054,0.0579595683377538,"rainDlambda"
25,0.255651432054919,0.232899849541717,"delta_RP_diff"
25,-0.0191518242083715,0.0979821213860919,"rain_cumdev_diff"
25,0.112783673467647,0.0530015098629549,"rainDlambda"
26,0.520560779820728,0.22513721379038,"delta_RP_diff"
26,0.00526654432032852,0.117276683867661,"rain_cumdev_diff"
26,0.0715966317092281,0.0645815867198458,"rainDlambda"
27,0.410487285022879,0.227565295712115,"delta_RP_diff"
27,0.0277740130443433,0.104877155060475,"rain_cumdev_diff"
27,0.102531152719961,0.0546830247373584,"rainDlambda"
28,-0.21746599566765,0.225201790203409,"delta_RP_diff"
28,0.115294735053095,0.112241275579794,"rain_cumdev_diff"
28,0.0958998297806812,0.0599717969859017,"rainDlambda"
29,0.396472755783928,0.252082369244042,"delta_RP_diff"
29,0.113457955932023,0.0955143885553645,"rain_cumdev_diff"
29,0.0789858690894377,0.0510730428964882,"rainDlambda"
