"iter","beta","se","variable"
1,1.77537479197484,0.397845784660476,"delta_RP_diff"
1,-0.693390874845876,0.227136369583016,"P44Dlambda"
1,-0.0892823938759203,0.0816186078750414,"rain_cumdev_diff"
1,0.0935474966952171,0.0465975243281792,"rainDlambda"
2,1.77537479197484,0.397845784660476,"delta_RP_diff"
2,-0.693390874845876,0.227136369583016,"P44Dlambda"
2,-0.0892823938759203,0.0816186078750414,"rain_cumdev_diff"
2,0.0935474966952171,0.0465975243281792,"rainDlambda"
3,1.77537479197484,0.397845784660476,"delta_RP_diff"
3,-0.693390874845876,0.227136369583016,"P44Dlambda"
3,-0.0892823938759203,0.0816186078750414,"rain_cumdev_diff"
3,0.0935474966952171,0.0465975243281792,"rainDlambda"
4,1.77537479197484,0.397845784660476,"delta_RP_diff"
4,-0.693390874845876,0.227136369583016,"P44Dlambda"
4,-0.0892823938759203,0.0816186078750414,"rain_cumdev_diff"
4,0.0935474966952171,0.0465975243281792,"rainDlambda"
5,1.77537479197484,0.397845784660476,"delta_RP_diff"
5,-0.693390874845876,0.227136369583016,"P44Dlambda"
5,-0.0892823938759203,0.0816186078750414,"rain_cumdev_diff"
5,0.0935474966952171,0.0465975243281792,"rainDlambda"
6,1.77537479197484,0.397845784660476,"delta_RP_diff"
6,-0.693390874845876,0.227136369583016,"P44Dlambda"
6,-0.0892823938759203,0.0816186078750414,"rain_cumdev_diff"
6,0.0935474966952171,0.0465975243281792,"rainDlambda"
7,1.77537479197484,0.397845784660476,"delta_RP_diff"
7,-0.693390874845876,0.227136369583016,"P44Dlambda"
7,-0.0892823938759203,0.0816186078750414,"rain_cumdev_diff"
7,0.0935474966952171,0.0465975243281792,"rainDlambda"
8,1.77537479197484,0.397845784660476,"delta_RP_diff"
8,-0.693390874845876,0.227136369583016,"P44Dlambda"
8,-0.0892823938759203,0.0816186078750414,"rain_cumdev_diff"
8,0.0935474966952171,0.0465975243281792,"rainDlambda"
9,1.77537479197484,0.397845784660476,"delta_RP_diff"
9,-0.693390874845876,0.227136369583016,"P44Dlambda"
9,-0.0892823938759203,0.0816186078750414,"rain_cumdev_diff"
9,0.0935474966952171,0.0465975243281792,"rainDlambda"
10,1.77537479197484,0.397845784660476,"delta_RP_diff"
10,-0.693390874845876,0.227136369583016,"P44Dlambda"
10,-0.0892823938759203,0.0816186078750414,"rain_cumdev_diff"
